,0,1,2,3,4,5,6,7
0,60.0,183.0,60.0,119.0,124.0,119.0,124.0,183.0
1,61.0,114.0,61.0,50.0,125.0,50.0,125.0,114.0
2,55.0,152.0,55.0,88.0,119.0,88.0,119.0,152.0
3,53.0,205.0,53.0,141.0,117.0,141.0,117.0,205.0
4,46.0,181.0,46.0,117.0,110.0,117.0,110.0,181.0
5,61.0,132.0,61.0,68.0,125.0,68.0,125.0,132.0
6,92.0,155.0,92.0,91.0,156.0,91.0,156.0,155.0
7,55.0,213.0,55.0,149.0,119.0,149.0,119.0,213.0
8,42.0,199.0,42.0,135.0,106.0,135.0,106.0,199.0
9,34.0,188.0,34.0,124.0,98.0,124.0,98.0,188.0
10,231.0,340.0,231.0,276.0,295.0,276.0,295.0,340.0
11,122.0,361.0,122.0,297.0,186.0,297.0,186.0,361.0
12,361.0,171.0,361.0,107.0,425.0,107.0,425.0,171.0
13,41.0,376.0,41.0,312.0,105.0,312.0,105.0,376.0
14,118.0,378.0,118.0,314.0,182.0,314.0,182.0,378.0
15,66.0,284.0,66.0,220.0,130.0,220.0,130.0,284.0
16,69.0,327.0,69.0,263.0,133.0,263.0,133.0,327.0
17,144.0,192.0,144.0,128.0,208.0,128.0,208.0,192.0
18,262.0,295.0,262.0,231.0,326.0,231.0,326.0,295.0
19,418.0,310.0,418.0,246.0,482.0,246.0,482.0,310.0
20,102.0,233.0,102.0,169.0,166.0,169.0,166.0,233.0
21,235.0,163.0,235.0,99.0,299.0,99.0,299.0,163.0
22,394.0,331.0,394.0,267.0,458.0,267.0,458.0,331.0
23,540.0,304.0,540.0,240.0,604.0,240.0,604.0,304.0
24,36.0,122.0,36.0,58.0,100.0,58.0,100.0,122.0
25,76.0,262.0,76.0,198.0,140.0,198.0,140.0,262.0
26,111.0,342.0,111.0,278.0,175.0,278.0,175.0,342.0
27,330.0,205.0,330.0,141.0,394.0,141.0,394.0,205.0
28,412.0,102.0,412.0,38.0,476.0,38.0,476.0,102.0
29,300.0,241.0,300.0,177.0,364.0,177.0,364.0,241.0
30,147.0,400.0,147.0,336.0,211.0,336.0,211.0,400.0
31,326.0,586.0,326.0,522.0,390.0,522.0,390.0,586.0
32,180.0,492.0,180.0,428.0,244.0,428.0,244.0,492.0
33,47.0,140.0,47.0,76.0,111.0,76.0,111.0,140.0
34,188.0,590.0,188.0,526.0,252.0,526.0,252.0,590.0
35,196.0,458.0,196.0,394.0,260.0,394.0,260.0,458.0
36,326.0,125.0,326.0,61.0,390.0,61.0,390.0,125.0
37,103.0,432.0,103.0,368.0,167.0,368.0,167.0,432.0
38,318.0,146.0,318.0,82.0,382.0,82.0,382.0,146.0
39,200.0,574.0,200.0,510.0,264.0,510.0,264.0,574.0
40,174.0,168.0,174.0,104.0,238.0,104.0,238.0,168.0
41,92.0,255.0,92.0,191.0,156.0,191.0,156.0,255.0
42,52.0,307.0,52.0,243.0,116.0,243.0,116.0,307.0
43,470.0,225.0,470.0,161.0,534.0,161.0,534.0,225.0
44,470.0,247.0,470.0,183.0,534.0,183.0,534.0,247.0
45,532.0,234.0,532.0,170.0,596.0,170.0,596.0,234.0
46,108.0,317.0,108.0,253.0,172.0,253.0,172.0,317.0
47,534.0,316.0,534.0,252.0,598.0,252.0,598.0,316.0
48,377.0,100.0,377.0,36.0,441.0,36.0,441.0,100.0
49,93.0,102.0,93.0,38.0,157.0,38.0,157.0,102.0
50,271.0,575.0,271.0,511.0,335.0,511.0,335.0,575.0
51,151.0,287.0,151.0,223.0,215.0,223.0,215.0,287.0
52,189.0,550.0,189.0,486.0,253.0,486.0,253.0,550.0
53,104.0,290.0,104.0,226.0,168.0,226.0,168.0,290.0
54,98.0,505.0,98.0,441.0,162.0,441.0,162.0,505.0
55,78.0,385.0,78.0,321.0,142.0,321.0,142.0,385.0
56,194.0,535.0,194.0,471.0,258.0,471.0,258.0,535.0
57,38.0,499.0,38.0,435.0,102.0,435.0,102.0,499.0
58,285.0,386.0,285.0,322.0,349.0,322.0,349.0,386.0
59,223.0,502.0,223.0,438.0,287.0,438.0,287.0,502.0
60,243.0,332.0,243.0,268.0,307.0,268.0,307.0,332.0
61,80.0,257.0,80.0,193.0,144.0,193.0,144.0,257.0
62,98.0,233.0,98.0,169.0,162.0,169.0,162.0,233.0
63,324.0,138.0,324.0,74.0,388.0,74.0,388.0,138.0
64,328.0,146.0,328.0,82.0,392.0,82.0,392.0,146.0
65,233.0,158.0,233.0,94.0,297.0,94.0,297.0,158.0
66,128.0,153.0,128.0,89.0,192.0,89.0,192.0,153.0
67,142.0,444.0,142.0,380.0,206.0,380.0,206.0,444.0
68,374.0,131.0,374.0,67.0,438.0,67.0,438.0,131.0
69,425.0,532.0,425.0,468.0,489.0,468.0,489.0,532.0
70,228.0,385.0,228.0,321.0,292.0,321.0,292.0,385.0
71,173.0,377.0,173.0,313.0,237.0,313.0,237.0,377.0
72,354.0,417.0,354.0,353.0,418.0,353.0,418.0,417.0
73,163.0,237.0,163.0,173.0,227.0,173.0,227.0,237.0
74,69.0,154.0,69.0,90.0,133.0,90.0,133.0,154.0
75,57.0,104.0,57.0,40.0,121.0,40.0,121.0,104.0
76,298.0,520.0,298.0,456.0,362.0,456.0,362.0,520.0
77,287.0,116.0,287.0,52.0,351.0,52.0,351.0,116.0
78,242.0,236.0,242.0,172.0,306.0,172.0,306.0,236.0
79,65.0,301.0,65.0,237.0,129.0,237.0,129.0,301.0
80,50.0,242.0,50.0,178.0,114.0,178.0,114.0,242.0
81,183.0,168.0,183.0,104.0,247.0,104.0,247.0,168.0
82,86.0,485.0,86.0,421.0,150.0,421.0,150.0,485.0
83,270.0,148.0,270.0,84.0,334.0,84.0,334.0,148.0
84,61.0,255.0,61.0,191.0,125.0,191.0,125.0,255.0
85,172.0,107.0,172.0,43.0,236.0,43.0,236.0,107.0
86,126.0,212.0,126.0,148.0,190.0,148.0,190.0,212.0
87,168.0,549.0,168.0,485.0,232.0,485.0,232.0,549.0
88,64.0,358.0,64.0,294.0,128.0,294.0,128.0,358.0
89,234.0,596.0,234.0,532.0,298.0,532.0,298.0,596.0
90,246.0,166.0,246.0,102.0,310.0,102.0,310.0,166.0
91,202.0,215.0,202.0,151.0,266.0,151.0,266.0,215.0
92,254.0,261.0,254.0,197.0,318.0,197.0,318.0,261.0
93,173.0,152.0,173.0,88.0,237.0,88.0,237.0,152.0
94,106.0,291.0,106.0,227.0,170.0,227.0,170.0,291.0
95,246.0,221.0,246.0,157.0,310.0,157.0,310.0,221.0
96,39.0,440.0,39.0,376.0,103.0,376.0,103.0,440.0
97,54.0,278.0,54.0,214.0,118.0,214.0,118.0,278.0
98,219.0,135.0,219.0,71.0,283.0,71.0,283.0,135.0
99,72.0,212.0,72.0,148.0,136.0,148.0,136.0,212.0
100,247.0,486.0,247.0,422.0,311.0,422.0,311.0,486.0
101,318.0,166.0,318.0,102.0,382.0,102.0,382.0,166.0
102,130.0,312.0,130.0,248.0,194.0,248.0,194.0,312.0
103,37.0,110.0,37.0,46.0,101.0,46.0,101.0,110.0
104,192.0,115.0,192.0,51.0,256.0,51.0,256.0,115.0
105,89.0,98.0,89.0,34.0,153.0,34.0,153.0,98.0
106,284.0,248.0,284.0,184.0,348.0,184.0,348.0,248.0
107,106.0,308.0,106.0,244.0,170.0,244.0,170.0,308.0
108,314.0,103.0,314.0,39.0,378.0,39.0,378.0,103.0
109,135.0,358.0,135.0,294.0,199.0,294.0,199.0,358.0
110,172.0,445.0,172.0,381.0,236.0,381.0,236.0,445.0
111,446.0,329.0,446.0,265.0,510.0,265.0,510.0,329.0
112,110.0,423.0,110.0,359.0,174.0,359.0,174.0,423.0
113,524.0,335.0,524.0,271.0,588.0,271.0,588.0,335.0
114,244.0,264.0,244.0,200.0,308.0,200.0,308.0,264.0
115,515.0,172.0,515.0,108.0,579.0,108.0,579.0,172.0
116,38.0,256.0,38.0,192.0,102.0,192.0,102.0,256.0
117,390.0,282.0,390.0,218.0,454.0,218.0,454.0,282.0
118,154.0,180.0,154.0,116.0,218.0,116.0,218.0,180.0
119,349.0,187.0,349.0,123.0,413.0,123.0,413.0,187.0
120,438.0,141.0,438.0,77.0,502.0,77.0,502.0,141.0
121,265.0,198.0,265.0,134.0,329.0,134.0,329.0,198.0
122,331.0,254.0,331.0,190.0,395.0,190.0,395.0,254.0
123,449.0,257.0,449.0,193.0,513.0,193.0,513.0,257.0
124,220.0,310.0,220.0,246.0,284.0,246.0,284.0,310.0
125,201.0,242.0,201.0,178.0,265.0,178.0,265.0,242.0
126,261.0,117.0,261.0,53.0,325.0,53.0,325.0,117.0
127,123.0,246.0,123.0,182.0,187.0,182.0,187.0,246.0
128,199.0,324.0,199.0,260.0,263.0,260.0,263.0,324.0
129,344.0,251.0,344.0,187.0,408.0,187.0,408.0,251.0
130,117.0,318.0,117.0,254.0,181.0,254.0,181.0,318.0
131,306.0,306.0,306.0,242.0,370.0,242.0,370.0,306.0
132,304.0,335.0,304.0,271.0,368.0,271.0,368.0,335.0
133,232.0,325.0,232.0,261.0,296.0,261.0,296.0,325.0
134,398.0,194.0,398.0,130.0,462.0,130.0,462.0,194.0
135,96.0,301.0,96.0,237.0,160.0,237.0,160.0,301.0
136,306.0,142.0,306.0,78.0,370.0,78.0,370.0,142.0
137,407.0,383.0,407.0,319.0,471.0,319.0,471.0,383.0
138,170.0,227.0,170.0,163.0,234.0,163.0,234.0,227.0
139,417.0,167.0,417.0,103.0,481.0,103.0,481.0,167.0
140,295.0,220.0,295.0,156.0,359.0,156.0,359.0,220.0
141,298.0,313.0,298.0,249.0,362.0,249.0,362.0,313.0
142,61.0,239.0,61.0,175.0,125.0,175.0,125.0,239.0
143,280.0,216.0,280.0,152.0,344.0,152.0,344.0,216.0
