,0,1,2,3,4,5,6,7
0,30.0,187.0,41.0,106.0,139.0,149.0,132.0,176.0
1,85.0,82.0,82.0,62.0,136.0,57.0,154.0,106.0
2,35.0,135.0,34.0,87.0,143.0,86.0,118.0,179.0
3,79.0,224.0,52.0,153.0,135.0,163.0,123.0,179.0
4,38.0,204.0,68.0,123.0,140.0,130.0,121.0,186.0
5,88.0,134.0,41.0,56.0,141.0,64.0,119.0,132.0
6,83.0,144.0,111.0,63.0,135.0,75.0,135.0,146.0
7,58.0,204.0,77.0,173.0,102.0,159.0,126.0,214.0
8,49.0,167.0,39.0,139.0,82.0,136.0,112.0,210.0
9,12.0,187.0,50.0,152.0,129.0,143.0,113.0,191.0
10,210.0,324.0,222.0,289.0,308.0,276.0,289.0,359.0
11,126.0,340.0,108.0,321.0,197.0,288.0,187.0,343.0
12,390.0,177.0,359.0,95.0,443.0,86.0,427.0,139.0
13,65.0,348.0,54.0,321.0,87.0,342.0,120.0,360.0
14,141.0,395.0,103.0,290.0,161.0,307.0,181.0,398.0
15,64.0,274.0,36.0,190.0,117.0,201.0,103.0,271.0
16,42.0,316.0,44.0,287.0,125.0,273.0,149.0,355.0
17,157.0,173.0,146.0,104.0,182.0,112.0,191.0,190.0
18,261.0,278.0,235.0,234.0,352.0,245.0,331.0,267.0
19,426.0,284.0,447.0,240.0,475.0,227.0,490.0,288.0
20,95.0,210.0,88.0,194.0,180.0,149.0,138.0,225.0
21,220.0,134.0,205.0,126.0,316.0,81.0,274.0,160.0
22,420.0,333.0,381.0,273.0,459.0,254.0,438.0,323.0
23,520.0,286.0,536.0,255.0,603.0,239.0,601.0,287.0
24,65.0,129.0,11.0,66.0,98.0,82.0,115.0,152.0
25,46.0,239.0,62.0,200.0,122.0,229.0,128.0,266.0
26,98.0,340.0,115.0,278.0,206.0,298.0,152.0,370.0
27,342.0,200.0,332.0,124.0,402.0,126.0,379.0,186.0
28,381.0,101.0,404.0,21.0,451.0,12.0,500.0,73.0
29,322.0,242.0,295.0,184.0,369.0,162.0,335.0,222.0
30,148.0,371.0,162.0,363.0,232.0,305.0,204.0,409.0
31,356.0,561.0,296.0,503.0,399.0,511.0,388.0,556.0
32,186.0,471.0,210.0,408.0,214.0,398.0,243.0,519.0
33,23.0,171.0,37.0,81.0,100.0,106.0,103.0,147.0
34,167.0,595.0,183.0,536.0,233.0,521.0,274.0,620.0
35,199.0,427.0,218.0,378.0,274.0,370.0,285.0,482.0
36,339.0,107.0,322.0,44.0,382.0,61.0,383.0,124.0
37,88.0,454.0,127.0,368.0,138.0,343.0,190.0,416.0
38,331.0,143.0,311.0,110.0,413.0,107.0,412.0,137.0
39,176.0,594.0,206.0,511.0,260.0,506.0,273.0,592.0
40,197.0,192.0,203.0,102.0,242.0,94.0,209.0,196.0
41,93.0,282.0,116.0,204.0,183.0,212.0,180.0,240.0
42,52.0,306.0,62.0,239.0,144.0,211.0,129.0,296.0
43,455.0,217.0,498.0,188.0,516.0,131.0,536.0,215.0
44,448.0,242.0,476.0,169.0,510.0,172.0,535.0,278.0
45,509.0,236.0,556.0,177.0,571.0,174.0,613.0,229.0
46,102.0,315.0,83.0,265.0,177.0,240.0,152.0,343.0
47,551.0,291.0,559.0,229.0,628.0,239.0,621.0,297.0
48,348.0,71.0,398.0,22.0,465.0,57.0,450.0,128.0
49,106.0,81.0,74.0,49.0,158.0,63.0,161.0,122.0
50,285.0,561.0,279.0,490.0,346.0,534.0,330.0,566.0
51,173.0,258.0,158.0,242.0,215.0,218.0,212.0,284.0
52,183.0,568.0,200.0,458.0,274.0,498.0,238.0,575.0
53,99.0,296.0,103.0,254.0,146.0,209.0,138.0,294.0
54,77.0,506.0,123.0,414.0,188.0,413.0,177.0,473.0
55,67.0,396.0,52.0,304.0,160.0,289.0,165.0,396.0
56,205.0,544.0,214.0,500.0,275.0,442.0,261.0,563.0
57,40.0,518.0,46.0,447.0,71.0,423.0,83.0,518.0
58,283.0,395.0,287.0,318.0,378.0,318.0,317.0,389.0
59,192.0,530.0,208.0,416.0,276.0,429.0,302.0,521.0
60,236.0,347.0,247.0,242.0,313.0,248.0,299.0,302.0
61,50.0,244.0,108.0,197.0,114.0,175.0,169.0,233.0
62,87.0,238.0,89.0,159.0,137.0,151.0,139.0,245.0
63,295.0,133.0,324.0,45.0,378.0,44.0,375.0,123.0
64,330.0,129.0,353.0,70.0,417.0,55.0,365.0,154.0
65,237.0,170.0,224.0,68.0,266.0,64.0,326.0,134.0
66,145.0,182.0,150.0,103.0,189.0,73.0,200.0,122.0
67,137.0,428.0,144.0,387.0,201.0,398.0,230.0,473.0
68,380.0,160.0,398.0,48.0,423.0,63.0,462.0,160.0
69,433.0,525.0,420.0,453.0,494.0,474.0,510.0,507.0
70,222.0,378.0,232.0,310.0,321.0,293.0,291.0,386.0
71,197.0,356.0,204.0,300.0,212.0,338.0,225.0,388.0
72,353.0,386.0,342.0,353.0,447.0,372.0,435.0,429.0
73,157.0,212.0,182.0,168.0,254.0,148.0,235.0,211.0
74,45.0,177.0,56.0,63.0,115.0,67.0,149.0,181.0
75,79.0,120.0,56.0,23.0,142.0,64.0,129.0,87.0
76,329.0,501.0,276.0,438.0,386.0,458.0,387.0,551.0
77,290.0,88.0,272.0,50.0,379.0,75.0,347.0,100.0
78,242.0,236.0,212.0,162.0,334.0,161.0,278.0,227.0
79,46.0,297.0,64.0,236.0,130.0,208.0,140.0,305.0
80,26.0,246.0,25.0,195.0,106.0,155.0,140.0,232.0
81,178.0,180.0,178.0,129.0,251.0,78.0,250.0,180.0
82,90.0,473.0,108.0,419.0,119.0,397.0,176.0,467.0
83,264.0,153.0,280.0,79.0,314.0,112.0,313.0,149.0
84,44.0,266.0,34.0,165.0,131.0,203.0,105.0,253.0
85,159.0,78.0,177.0,51.0,215.0,32.0,218.0,134.0
86,134.0,208.0,127.0,168.0,165.0,177.0,178.0,242.0
87,158.0,557.0,140.0,500.0,250.0,500.0,204.0,570.0
88,33.0,347.0,44.0,278.0,111.0,303.0,154.0,389.0
89,262.0,619.0,212.0,535.0,304.0,504.0,269.0,623.0
90,253.0,155.0,243.0,75.0,293.0,123.0,324.0,154.0
91,225.0,215.0,231.0,119.0,255.0,158.0,240.0,213.0
92,282.0,267.0,243.0,207.0,340.0,212.0,307.0,281.0
93,157.0,142.0,153.0,78.0,237.0,59.0,265.0,148.0
94,110.0,304.0,109.0,249.0,188.0,253.0,145.0,298.0
95,233.0,232.0,219.0,171.0,307.0,154.0,286.0,247.0
96,44.0,408.0,29.0,390.0,82.0,406.0,81.0,435.0
97,78.0,257.0,42.0,189.0,89.0,219.0,117.0,266.0
98,196.0,133.0,213.0,94.0,296.0,57.0,290.0,119.0
99,48.0,204.0,79.0,159.0,154.0,130.0,147.0,220.0
100,262.0,514.0,238.0,408.0,323.0,446.0,306.0,479.0
101,300.0,144.0,287.0,106.0,356.0,103.0,408.0,172.0
102,128.0,339.0,147.0,244.0,208.0,233.0,171.0,327.0
103,49.0,84.0,49.0,53.0,86.0,65.0,113.0,108.0
104,169.0,83.0,202.0,68.0,230.0,32.0,253.0,96.0
105,87.0,72.0,118.0,37.0,165.0,28.0,147.0,89.0
106,311.0,252.0,287.0,155.0,341.0,205.0,372.0,250.0
107,84.0,302.0,75.0,259.0,161.0,214.0,182.0,327.0
108,321.0,87.0,339.0,38.0,374.0,19.0,346.0,79.0
109,159.0,341.0,133.0,279.0,183.0,266.0,178.0,359.0
110,193.0,419.0,173.0,351.0,246.0,355.0,225.0,443.0
111,464.0,345.0,457.0,255.0,493.0,257.0,501.0,333.0
112,91.0,453.0,91.0,332.0,186.0,330.0,155.0,447.0
113,530.0,335.0,544.0,283.0,569.0,274.0,617.0,348.0
114,213.0,247.0,271.0,226.0,302.0,222.0,327.0,268.0
115,512.0,195.0,502.0,79.0,573.0,113.0,608.0,145.0
116,54.0,258.0,38.0,167.0,115.0,169.0,95.0,279.0
117,364.0,283.0,420.0,204.0,438.0,224.0,483.0,312.0
118,149.0,161.0,145.0,130.0,231.0,102.0,238.0,149.0
119,363.0,201.0,360.0,128.0,425.0,145.0,422.0,166.0
120,465.0,154.0,410.0,102.0,482.0,53.0,473.0,159.0
121,254.0,198.0,283.0,130.0,324.0,116.0,354.0,190.0
122,339.0,260.0,358.0,217.0,416.0,172.0,414.0,257.0
123,479.0,248.0,425.0,192.0,526.0,174.0,543.0,267.0
124,216.0,331.0,205.0,258.0,256.0,223.0,291.0,332.0
125,215.0,234.0,189.0,172.0,233.0,169.0,294.0,212.0
126,231.0,123.0,229.0,51.0,297.0,55.0,297.0,85.0
127,118.0,247.0,120.0,190.0,196.0,196.0,177.0,257.0
128,216.0,340.0,174.0,234.0,254.0,286.0,254.0,325.0
129,327.0,239.0,329.0,188.0,377.0,175.0,401.0,255.0
130,103.0,330.0,114.0,231.0,153.0,239.0,201.0,306.0
131,329.0,292.0,300.0,235.0,353.0,246.0,398.0,293.0
132,280.0,313.0,306.0,284.0,373.0,255.0,354.0,315.0
133,244.0,356.0,262.0,248.0,304.0,248.0,302.0,346.0
134,419.0,197.0,380.0,149.0,459.0,111.0,460.0,215.0
135,99.0,286.0,93.0,236.0,176.0,218.0,157.0,318.0
136,335.0,152.0,282.0,58.0,366.0,54.0,362.0,110.0
137,387.0,396.0,413.0,292.0,444.0,304.0,459.0,379.0
138,170.0,228.0,178.0,151.0,265.0,179.0,232.0,237.0
139,388.0,190.0,398.0,92.0,506.0,132.0,495.0,188.0
140,284.0,204.0,273.0,181.0,341.0,142.0,381.0,214.0
141,307.0,310.0,277.0,269.0,363.0,225.0,390.0,288.0
142,84.0,229.0,83.0,186.0,145.0,199.0,103.0,214.0
143,298.0,240.0,303.0,135.0,338.0,122.0,313.0,193.0
144,250.0,200.0,202.0,136.0,301.0,174.0,274.0,192.0
145,112.0,313.0,101.0,207.0,190.0,215.0,203.0,290.0
146,103.0,196.0,88.0,150.0,156.0,141.0,179.0,210.0
147,217.0,436.0,231.0,380.0,263.0,320.0,306.0,437.0
148,144.0,394.0,195.0,344.0,207.0,299.0,234.0,365.0
149,84.0,372.0,126.0,318.0,144.0,324.0,184.0,344.0
150,131.0,135.0,154.0,58.0,206.0,24.0,211.0,93.0
151,208.0,323.0,180.0,255.0,245.0,267.0,285.0,297.0
152,223.0,228.0,169.0,196.0,258.0,177.0,287.0,242.0
153,58.0,119.0,67.0,25.0,97.0,41.0,127.0,104.0
154,103.0,610.0,126.0,551.0,177.0,525.0,191.0,583.0
155,73.0,366.0,36.0,292.0,132.0,294.0,122.0,397.0
156,188.0,571.0,189.0,491.0,302.0,466.0,263.0,513.0
157,139.0,150.0,171.0,44.0,244.0,55.0,193.0,131.0
158,98.0,238.0,55.0,188.0,143.0,202.0,120.0,236.0
159,196.0,220.0,203.0,178.0,287.0,165.0,260.0,243.0
160,284.0,418.0,336.0,360.0,349.0,322.0,384.0,443.0
161,168.0,333.0,159.0,267.0,259.0,218.0,220.0,315.0
162,219.0,534.0,225.0,417.0,328.0,446.0,275.0,484.0
163,154.0,230.0,112.0,159.0,196.0,145.0,230.0,185.0
164,83.0,529.0,41.0,516.0,124.0,500.0,100.0,530.0
165,258.0,492.0,291.0,440.0,327.0,438.0,328.0,495.0
166,112.0,117.0,82.0,38.0,186.0,25.0,168.0,136.0
167,171.0,305.0,219.0,211.0,284.0,202.0,259.0,315.0
168,369.0,487.0,350.0,417.0,414.0,398.0,441.0,490.0
169,20.0,443.0,16.0,382.0,128.0,419.0,131.0,466.0
170,199.0,318.0,154.0,298.0,265.0,293.0,223.0,319.0
171,213.0,349.0,173.0,307.0,241.0,289.0,272.0,339.0
172,77.0,198.0,89.0,143.0,150.0,139.0,157.0,221.0
173,193.0,214.0,189.0,149.0,241.0,144.0,248.0,206.0
174,236.0,429.0,290.0,332.0,297.0,327.0,306.0,398.0
175,276.0,149.0,284.0,87.0,291.0,43.0,291.0,154.0
176,140.0,138.0,128.0,112.0,207.0,95.0,160.0,142.0
177,294.0,192.0,250.0,134.0,307.0,91.0,347.0,145.0
178,254.0,562.0,289.0,490.0,379.0,496.0,364.0,587.0
179,269.0,109.0,254.0,56.0,317.0,75.0,298.0,109.0
180,286.0,251.0,275.0,199.0,351.0,183.0,337.0,262.0
181,73.0,397.0,91.0,301.0,177.0,319.0,191.0,396.0
182,52.0,183.0,26.0,177.0,113.0,179.0,96.0,199.0
183,279.0,81.0,298.0,39.0,339.0,61.0,328.0,87.0
184,100.0,358.0,72.0,317.0,185.0,318.0,185.0,412.0
185,259.0,412.0,272.0,360.0,337.0,347.0,297.0,426.0
186,108.0,296.0,134.0,239.0,204.0,256.0,208.0,336.0
187,55.0,437.0,20.0,421.0,98.0,373.0,65.0,432.0
188,204.0,357.0,226.0,301.0,260.0,299.0,275.0,343.0
189,204.0,112.0,187.0,47.0,301.0,53.0,273.0,131.0
190,274.0,206.0,258.0,147.0,339.0,120.0,341.0,221.0
191,372.0,391.0,398.0,367.0,429.0,364.0,446.0,424.0
192,293.0,245.0,342.0,184.0,398.0,168.0,367.0,196.0
193,283.0,456.0,246.0,397.0,319.0,418.0,291.0,440.0
194,86.0,309.0,112.0,249.0,145.0,214.0,182.0,263.0
195,195.0,219.0,199.0,198.0,279.0,195.0,297.0,228.0
196,135.0,413.0,171.0,383.0,198.0,380.0,210.0,408.0
197,212.0,516.0,204.0,426.0,254.0,444.0,231.0,511.0
198,82.0,272.0,108.0,194.0,122.0,183.0,158.0,286.0
199,238.0,300.0,248.0,245.0,306.0,230.0,322.0,305.0
200,344.0,289.0,358.0,278.0,416.0,243.0,451.0,296.0
201,105.0,317.0,80.0,262.0,139.0,220.0,179.0,301.0
202,155.0,264.0,145.0,211.0,177.0,230.0,201.0,271.0
203,304.0,162.0,267.0,126.0,317.0,91.0,353.0,193.0
204,191.0,326.0,208.0,262.0,257.0,216.0,235.0,312.0
205,250.0,233.0,196.0,216.0,260.0,219.0,296.0,288.0
206,422.0,271.0,382.0,236.0,493.0,176.0,447.0,259.0
207,336.0,123.0,329.0,78.0,410.0,57.0,383.0,105.0
208,320.0,225.0,306.0,146.0,413.0,138.0,426.0,219.0
209,249.0,337.0,218.0,271.0,271.0,257.0,283.0,375.0
210,179.0,193.0,178.0,171.0,231.0,163.0,219.0,184.0
211,364.0,253.0,421.0,222.0,452.0,221.0,445.0,255.0
212,136.0,192.0,118.0,108.0,210.0,124.0,225.0,152.0
213,418.0,188.0,418.0,158.0,499.0,140.0,517.0,178.0
214,468.0,342.0,477.0,301.0,506.0,263.0,553.0,335.0
215,288.0,132.0,277.0,123.0,329.0,124.0,363.0,189.0
216,313.0,163.0,307.0,115.0,371.0,123.0,389.0,178.0
217,108.0,166.0,120.0,77.0,180.0,84.0,157.0,157.0
218,385.0,192.0,401.0,183.0,462.0,132.0,485.0,234.0
219,89.0,127.0,50.0,23.0,124.0,15.0,125.0,109.0
220,280.0,201.0,305.0,153.0,374.0,138.0,339.0,247.0
221,260.0,139.0,295.0,28.0,346.0,34.0,361.0,97.0
222,311.0,173.0,314.0,108.0,381.0,125.0,371.0,220.0
223,312.0,281.0,302.0,196.0,354.0,226.0,403.0,251.0
224,352.0,376.0,347.0,315.0,459.0,342.0,438.0,371.0
225,210.0,470.0,173.0,445.0,216.0,409.0,265.0,500.0
226,220.0,255.0,173.0,176.0,259.0,179.0,253.0,290.0
227,316.0,152.0,332.0,112.0,406.0,94.0,357.0,194.0
228,178.0,365.0,172.0,327.0,288.0,286.0,290.0,362.0
229,66.0,595.0,62.0,516.0,84.0,500.0,122.0,626.0
230,333.0,144.0,319.0,77.0,399.0,53.0,381.0,119.0
231,400.0,416.0,418.0,341.0,467.0,371.0,461.0,448.0
232,73.0,359.0,99.0,315.0,164.0,337.0,177.0,410.0
233,425.0,92.0,433.0,43.0,517.0,24.0,480.0,123.0
234,485.0,356.0,452.0,310.0,558.0,307.0,575.0,357.0
235,349.0,421.0,340.0,328.0,423.0,351.0,382.0,386.0
236,318.0,260.0,287.0,213.0,341.0,154.0,365.0,246.0
237,489.0,209.0,526.0,120.0,587.0,134.0,595.0,234.0
238,409.0,439.0,385.0,360.0,462.0,374.0,455.0,450.0
239,80.0,387.0,85.0,355.0,134.0,320.0,147.0,376.0
240,233.0,148.0,215.0,79.0,317.0,59.0,274.0,168.0
241,248.0,191.0,246.0,109.0,275.0,156.0,313.0,178.0
242,264.0,210.0,217.0,135.0,310.0,189.0,333.0,204.0
243,160.0,561.0,119.0,490.0,196.0,493.0,196.0,523.0
244,253.0,547.0,255.0,449.0,327.0,430.0,359.0,535.0
245,296.0,399.0,267.0,362.0,333.0,365.0,343.0,450.0
246,150.0,505.0,110.0,415.0,201.0,452.0,195.0,462.0
247,164.0,399.0,171.0,335.0,227.0,332.0,233.0,423.0
248,196.0,104.0,181.0,59.0,230.0,84.0,212.0,101.0
249,92.0,310.0,74.0,243.0,149.0,225.0,145.0,273.0
250,198.0,285.0,244.0,227.0,293.0,182.0,302.0,281.0
251,295.0,379.0,303.0,307.0,332.0,368.0,352.0,418.0
252,182.0,127.0,193.0,56.0,237.0,89.0,226.0,101.0
253,38.0,416.0,54.0,355.0,122.0,322.0,77.0,442.0
254,18.0,224.0,45.0,122.0,97.0,158.0,81.0,195.0
255,319.0,500.0,304.0,436.0,326.0,437.0,323.0,532.0
256,246.0,220.0,227.0,181.0,322.0,178.0,293.0,218.0
257,155.0,173.0,131.0,99.0,237.0,136.0,201.0,158.0
258,342.0,518.0,332.0,428.0,388.0,409.0,400.0,507.0
259,127.0,401.0,111.0,363.0,217.0,342.0,225.0,430.0
260,325.0,185.0,281.0,97.0,344.0,76.0,375.0,145.0
261,211.0,263.0,236.0,221.0,283.0,212.0,306.0,270.0
262,101.0,255.0,92.0,174.0,125.0,191.0,151.0,215.0
263,286.0,183.0,308.0,123.0,369.0,163.0,407.0,222.0
264,52.0,469.0,26.0,379.0,114.0,363.0,88.0,458.0
265,113.0,95.0,141.0,13.0,179.0,57.0,181.0,93.0
266,83.0,385.0,118.0,318.0,194.0,298.0,166.0,374.0
267,383.0,357.0,404.0,246.0,430.0,286.0,440.0,315.0
268,303.0,429.0,331.0,413.0,378.0,391.0,333.0,481.0
269,141.0,292.0,122.0,199.0,206.0,247.0,177.0,269.0
270,126.0,343.0,153.0,287.0,207.0,282.0,179.0,342.0
271,440.0,135.0,422.0,92.0,489.0,92.0,497.0,150.0
272,459.0,215.0,464.0,102.0,559.0,114.0,516.0,178.0
273,384.0,418.0,396.0,298.0,440.0,350.0,430.0,373.0
274,546.0,401.0,529.0,346.0,590.0,351.0,579.0,435.0
275,72.0,250.0,18.0,139.0,90.0,130.0,86.0,249.0
276,377.0,141.0,334.0,81.0,401.0,91.0,435.0,175.0
277,246.0,385.0,216.0,375.0,338.0,364.0,303.0,421.0
278,197.0,274.0,176.0,225.0,295.0,198.0,274.0,252.0
279,485.0,152.0,473.0,140.0,513.0,98.0,544.0,155.0
280,171.0,419.0,157.0,379.0,225.0,391.0,222.0,412.0
281,29.0,576.0,71.0,557.0,132.0,553.0,102.0,565.0
282,185.0,135.0,132.0,96.0,254.0,121.0,203.0,142.0
283,25.0,177.0,63.0,140.0,135.0,125.0,87.0,184.0
284,35.0,427.0,63.0,399.0,128.0,410.0,126.0,476.0
285,44.0,391.0,47.0,345.0,86.0,318.0,109.0,396.0
286,78.0,165.0,65.0,115.0,137.0,109.0,148.0,161.0
287,78.0,294.0,91.0,227.0,152.0,224.0,138.0,310.0
288,51.0,306.0,26.0,240.0,112.0,230.0,131.0,308.0
289,125.0,389.0,74.0,375.0,135.0,328.0,153.0,416.0
290,50.0,317.0,70.0,271.0,107.0,282.0,129.0,317.0
291,347.0,533.0,325.0,496.0,428.0,490.0,398.0,528.0
292,296.0,579.0,320.0,511.0,363.0,500.0,412.0,538.0
293,371.0,552.0,333.0,504.0,431.0,453.0,401.0,507.0
294,343.0,123.0,350.0,97.0,422.0,87.0,444.0,145.0
295,406.0,377.0,391.0,311.0,451.0,302.0,428.0,346.0
296,89.0,366.0,52.0,292.0,115.0,269.0,156.0,337.0
297,166.0,194.0,193.0,142.0,274.0,129.0,274.0,204.0
298,243.0,140.0,251.0,87.0,300.0,65.0,265.0,109.0
299,102.0,478.0,67.0,417.0,180.0,417.0,172.0,502.0
300,169.0,528.0,207.0,498.0,263.0,483.0,255.0,530.0
301,80.0,149.0,83.0,53.0,145.0,54.0,165.0,157.0
302,156.0,521.0,147.0,435.0,216.0,449.0,235.0,497.0
303,320.0,514.0,304.0,480.0,335.0,452.0,356.0,539.0
304,48.0,108.0,31.0,60.0,80.0,81.0,101.0,111.0
305,88.0,411.0,79.0,351.0,171.0,335.0,131.0,412.0
306,343.0,303.0,330.0,256.0,380.0,242.0,406.0,304.0
