,0,1,2,3,4,5,6,7
0,-4.0,26.0,-12.0,-18.0,-25.0,-30.0,-20.0,10.0
1,-13.0,25.0,-1.0,-1.0,22.0,-17.0,12.0,-20.0
2,-28.0,30.0,-23.0,12.0,0.0,21.0,3.0,-28.0
3,-20.0,-1.0,23.0,28.0,-15.0,-11.0,-32.0,-7.0
4,-25.0,-6.0,-20.0,11.0,25.0,-3.0,-11.0,-24.0
5,4.0,-17.0,-29.0,22.0,10.0,1.0,11.0,-30.0
6,-18.0,16.0,20.0,-28.0,-22.0,-1.0,-14.0,-5.0
7,-23.0,30.0,-19.0,-30.0,6.0,-17.0,-28.0,6.0
8,-24.0,19.0,-1.0,11.0,-4.0,-19.0,-8.0,13.0
9,1.0,-24.0,-27.0,-10.0,-32.0,-13.0,19.0,-7.0
10,-5.0,6.0,-27.0,29.0,-10.0,18.0,31.0,-26.0
11,-23.0,6.0,-12.0,14.0,9.0,-27.0,-12.0,22.0
12,22.0,27.0,24.0,-25.0,10.0,-15.0,-21.0,-7.0
13,-15.0,26.0,-27.0,-2.0,18.0,22.0,-14.0,-12.0
14,22.0,31.0,21.0,-30.0,7.0,0.0,0.0,23.0
15,2.0,12.0,-5.0,21.0,1.0,1.0,-25.0,12.0
16,23.0,-24.0,9.0,13.0,-23.0,3.0,-24.0,-4.0
17,6.0,22.0,7.0,30.0,23.0,-15.0,4.0,-3.0
18,19.0,5.0,25.0,3.0,6.0,-28.0,-17.0,-8.0
19,-2.0,-1.0,-8.0,-15.0,17.0,9.0,14.0,1.0
20,1.0,-11.0,17.0,18.0,-15.0,-8.0,1.0,-28.0
21,24.0,0.0,-27.0,-15.0,-2.0,-14.0,7.0,27.0
22,-30.0,-3.0,-28.0,2.0,-32.0,12.0,7.0,30.0
23,-12.0,-21.0,-11.0,-25.0,-14.0,11.0,-1.0,-9.0
24,-15.0,16.0,-17.0,-24.0,-13.0,29.0,-13.0,-17.0
25,-31.0,8.0,-30.0,18.0,31.0,-1.0,-22.0,-1.0
26,-27.0,-19.0,26.0,0.0,25.0,-11.0,6.0,20.0
27,3.0,-10.0,-30.0,-16.0,0.0,-19.0,26.0,-22.0
28,9.0,8.0,22.0,15.0,-30.0,-25.0,-21.0,-5.0
29,22.0,-7.0,-23.0,21.0,-21.0,-15.0,26.0,-18.0
30,26.0,-29.0,5.0,18.0,26.0,-20.0,-30.0,21.0
31,22.0,-31.0,23.0,0.0,-27.0,5.0,26.0,13.0
32,29.0,-20.0,-1.0,10.0,-26.0,22.0,9.0,-29.0
33,24.0,8.0,3.0,10.0,20.0,5.0,-20.0,-7.0
34,12.0,-11.0,4.0,-28.0,-11.0,-19.0,6.0,-7.0
35,1.0,-14.0,-15.0,-31.0,9.0,9.0,19.0,23.0
36,-10.0,-14.0,19.0,5.0,-32.0,-2.0,-20.0,16.0
37,-29.0,-18.0,27.0,-24.0,16.0,-21.0,9.0,6.0
38,-24.0,18.0,19.0,0.0,30.0,-30.0,23.0,-3.0
39,-23.0,-2.0,10.0,21.0,25.0,11.0,29.0,13.0
40,-30.0,26.0,-2.0,-2.0,7.0,-14.0,-12.0,9.0
41,-31.0,-12.0,-12.0,13.0,25.0,1.0,-9.0,10.0
42,-20.0,9.0,26.0,29.0,20.0,26.0,-17.0,-8.0
43,-12.0,-1.0,-19.0,12.0,-14.0,-11.0,-10.0,19.0
44,-18.0,2.0,-17.0,-11.0,-29.0,10.0,15.0,-28.0
45,-30.0,17.0,-25.0,27.0,0.0,-24.0,-32.0,-12.0
46,-6.0,-28.0,29.0,31.0,-26.0,-24.0,-20.0,-9.0
47,22.0,0.0,28.0,-27.0,21.0,1.0,12.0,-20.0
48,19.0,10.0,22.0,-27.0,11.0,26.0,-23.0,-14.0
49,31.0,30.0,20.0,-28.0,12.0,-10.0,10.0,-28.0
50,-26.0,12.0,-3.0,21.0,-27.0,-27.0,25.0,30.0
51,-14.0,-9.0,31.0,-11.0,-10.0,-23.0,-1.0,16.0
52,-4.0,13.0,-4.0,5.0,17.0,-32.0,26.0,24.0
53,2.0,1.0,-31.0,-11.0,31.0,-22.0,-25.0,4.0
54,-31.0,-1.0,22.0,-18.0,24.0,21.0,11.0,-28.0
55,20.0,-28.0,-16.0,-22.0,4.0,-29.0,-30.0,21.0
56,-4.0,-4.0,-17.0,-17.0,2.0,28.0,-30.0,-10.0
57,27.0,23.0,-29.0,-9.0,-30.0,29.0,10.0,-20.0
58,-28.0,-25.0,4.0,-12.0,10.0,10.0,21.0,-28.0
59,6.0,-24.0,15.0,2.0,25.0,19.0,-28.0,0.0
60,7.0,9.0,-2.0,-1.0,-20.0,-32.0,-27.0,24.0
61,20.0,23.0,-27.0,17.0,14.0,-2.0,-1.0,-7.0
62,-6.0,-18.0,-11.0,0.0,-1.0,-15.0,16.0,-7.0
63,-26.0,-8.0,-2.0,28.0,-7.0,-18.0,-26.0,3.0
64,-15.0,-25.0,-3.0,-23.0,14.0,2.0,-20.0,-28.0
65,-18.0,0.0,9.0,7.0,18.0,-24.0,-13.0,14.0
66,-14.0,25.0,7.0,15.0,21.0,26.0,-1.0,-32.0
67,3.0,12.0,-21.0,29.0,-6.0,8.0,-26.0,10.0
68,3.0,8.0,-14.0,-31.0,-4.0,18.0,-5.0,-19.0
69,-21.0,14.0,16.0,12.0,10.0,1.0,-6.0,27.0
70,13.0,0.0,-3.0,-24.0,-22.0,20.0,-9.0,-8.0
71,3.0,-5.0,6.0,6.0,-24.0,-31.0,-23.0,-21.0
72,-22.0,-16.0,-13.0,-30.0,2.0,31.0,11.0,29.0
73,-15.0,-5.0,-29.0,-2.0,3.0,4.0,24.0,21.0
74,-3.0,-29.0,6.0,19.0,9.0,28.0,20.0,-3.0
75,-25.0,16.0,-3.0,9.0,-28.0,30.0,24.0,-14.0
76,22.0,17.0,-24.0,22.0,26.0,28.0,30.0,6.0
77,-1.0,20.0,24.0,21.0,-18.0,0.0,-25.0,-25.0
78,-14.0,-5.0,-8.0,-4.0,13.0,-18.0,25.0,-13.0
79,1.0,31.0,0.0,-9.0,-31.0,3.0,-32.0,19.0
80,-7.0,-26.0,-30.0,-9.0,-27.0,-22.0,-23.0,30.0
81,-20.0,-14.0,-13.0,-28.0,4.0,-6.0,28.0,-21.0
82,5.0,-30.0,20.0,3.0,-13.0,3.0,-11.0,-14.0
83,14.0,-27.0,-31.0,30.0,1.0,8.0,-24.0,-6.0
84,-30.0,0.0,-15.0,-28.0,-8.0,25.0,-1.0,0.0
85,-30.0,6.0,-3.0,-2.0,29.0,-23.0,-9.0,-13.0
86,29.0,-21.0,14.0,29.0,-23.0,30.0,-7.0,9.0
87,6.0,14.0,18.0,14.0,-7.0,-10.0,-19.0,24.0
88,-5.0,29.0,-16.0,24.0,-2.0,-16.0,17.0,-15.0
89,21.0,20.0,-3.0,-15.0,-13.0,10.0,13.0,-8.0
90,-24.0,16.0,28.0,7.0,-25.0,-29.0,-8.0,-8.0
91,1.0,18.0,1.0,13.0,-27.0,-10.0,-9.0,23.0
92,29.0,-6.0,0.0,-12.0,-14.0,16.0,-9.0,-29.0
93,31.0,5.0,-11.0,24.0,8.0,-28.0,15.0,-17.0
94,13.0,-20.0,-22.0,3.0,-29.0,-1.0,21.0,-5.0
95,-28.0,-16.0,16.0,-1.0,4.0,-25.0,21.0,2.0
96,23.0,-30.0,-27.0,-8.0,8.0,22.0,2.0,-20.0
97,-9.0,-5.0,-12.0,11.0,4.0,-10.0,12.0,19.0
98,-14.0,-29.0,-25.0,-32.0,17.0,18.0,19.0,27.0
99,22.0,-5.0,25.0,17.0,-1.0,-17.0,14.0,-31.0
100,20.0,22.0,-31.0,18.0,30.0,12.0,-32.0,10.0
101,-24.0,20.0,8.0,30.0,-1.0,-15.0,12.0,-6.0
102,-18.0,-18.0,9.0,31.0,4.0,17.0,24.0,5.0
103,30.0,-14.0,4.0,9.0,30.0,-15.0,-8.0,-7.0
104,-13.0,-18.0,9.0,-7.0,5.0,13.0,5.0,-26.0
105,10.0,-15.0,-23.0,2.0,12.0,8.0,-21.0,-9.0
106,0.0,15.0,10.0,-30.0,3.0,1.0,3.0,17.0
107,25.0,14.0,-5.0,19.0,-5.0,31.0,28.0,24.0
108,22.0,-21.0,-5.0,6.0,-28.0,-4.0,-8.0,-2.0
109,3.0,-19.0,1.0,-15.0,23.0,11.0,14.0,-15.0
110,1.0,-25.0,-21.0,15.0,5.0,-23.0,3.0,20.0
111,26.0,-32.0,0.0,-31.0,-23.0,-2.0,23.0,30.0
112,-15.0,30.0,-26.0,25.0,-10.0,-26.0,21.0,13.0
113,-3.0,-6.0,-23.0,-6.0,-2.0,27.0,-26.0,-31.0
114,24.0,25.0,-12.0,-23.0,-16.0,27.0,4.0,13.0
115,-21.0,-21.0,5.0,19.0,-24.0,-23.0,28.0,-1.0
116,6.0,0.0,3.0,-5.0,-21.0,13.0,15.0,-9.0
117,-17.0,0.0,-18.0,16.0,-31.0,-16.0,19.0,-21.0
118,27.0,-28.0,27.0,-5.0,9.0,-13.0,-20.0,1.0
119,-17.0,-30.0,-28.0,-1.0,13.0,18.0,18.0,-28.0
120,5.0,16.0,2.0,0.0,-5.0,19.0,7.0,-22.0
121,-8.0,-28.0,26.0,21.0,-12.0,-21.0,-15.0,11.0
122,9.0,-31.0,31.0,7.0,-10.0,-1.0,-7.0,-18.0
123,-28.0,4.0,0.0,16.0,6.0,-9.0,-23.0,-15.0
124,-10.0,-30.0,-29.0,28.0,-29.0,-3.0,22.0,31.0
125,19.0,22.0,12.0,-11.0,-21.0,24.0,16.0,23.0
126,-9.0,0.0,-27.0,-5.0,22.0,-6.0,21.0,9.0
127,-9.0,-13.0,-30.0,-23.0,25.0,-26.0,31.0,22.0
128,5.0,-5.0,14.0,14.0,-27.0,14.0,20.0,-5.0
129,30.0,-8.0,-27.0,-28.0,-10.0,-4.0,-11.0,3.0
130,30.0,-11.0,-22.0,-19.0,-19.0,-2.0,20.0,-9.0
131,24.0,-31.0,-22.0,30.0,-22.0,-31.0,-5.0,26.0
132,-23.0,7.0,-31.0,29.0,-7.0,-26.0,24.0,12.0
133,-20.0,10.0,19.0,-24.0,-20.0,-27.0,-15.0,24.0
134,1.0,18.0,-26.0,-32.0,3.0,31.0,20.0,2.0
135,12.0,10.0,10.0,-30.0,-18.0,3.0,-10.0,5.0
136,-19.0,-11.0,-23.0,6.0,-16.0,-9.0,-31.0,19.0
137,30.0,11.0,25.0,-23.0,-19.0,6.0,-31.0,13.0
138,15.0,-3.0,16.0,-8.0,17.0,16.0,7.0,-8.0
139,17.0,-14.0,-26.0,19.0,-14.0,7.0,17.0,-24.0
140,5.0,31.0,-26.0,30.0,22.0,25.0,-16.0,-3.0
141,22.0,27.0,19.0,-18.0,3.0,23.0,17.0,-8.0
142,12.0,1.0,-1.0,-31.0,19.0,-12.0,-30.0,-1.0
143,-11.0,17.0,16.0,11.0,4.0,5.0,17.0,15.0
144,-20.0,5.0,-7.0,-22.0,-6.0,20.0,-9.0,31.0
145,24.0,16.0,20.0,3.0,-1.0,4.0,-20.0,-11.0
146,4.0,27.0,27.0,26.0,3.0,21.0,0.0,-9.0
147,-24.0,0.0,16.0,-16.0,-13.0,23.0,5.0,-29.0
148,-5.0,18.0,25.0,12.0,-4.0,21.0,31.0,31.0
149,31.0,8.0,24.0,7.0,14.0,3.0,-20.0,6.0
150,15.0,-9.0,12.0,23.0,18.0,20.0,-11.0,-29.0
151,14.0,31.0,-1.0,-17.0,30.0,-13.0,-10.0,-18.0
