,0,1,2,3,4,5,6,7
0,-30.0,4.0,-19.0,-13.0,15.0,30.0,8.0,-7.0
1,24.0,-32.0,21.0,12.0,11.0,7.0,29.0,-8.0
2,-20.0,-17.0,-21.0,-1.0,24.0,-2.0,-1.0,27.0
3,26.0,19.0,-1.0,12.0,18.0,22.0,6.0,-26.0
4,-8.0,23.0,22.0,6.0,30.0,13.0,11.0,5.0
5,27.0,2.0,-20.0,-12.0,16.0,-4.0,-6.0,0.0
6,-9.0,-11.0,19.0,-28.0,-21.0,-16.0,-21.0,-9.0
7,3.0,-9.0,22.0,24.0,-17.0,10.0,7.0,1.0
8,7.0,-32.0,-3.0,4.0,-24.0,1.0,6.0,11.0
9,-22.0,-1.0,16.0,28.0,31.0,19.0,15.0,3.0
10,-21.0,-16.0,-9.0,13.0,13.0,0.0,-6.0,19.0
11,4.0,-21.0,-14.0,24.0,11.0,-9.0,1.0,-18.0
12,29.0,6.0,-2.0,-12.0,18.0,-21.0,2.0,-32.0
13,24.0,-28.0,13.0,9.0,-18.0,30.0,15.0,-16.0
14,23.0,17.0,-15.0,-24.0,-21.0,-7.0,-1.0,20.0
15,-2.0,-10.0,-30.0,-30.0,-13.0,-19.0,-27.0,-13.0
16,-27.0,-11.0,-25.0,24.0,-8.0,10.0,16.0,28.0
17,13.0,-19.0,2.0,-24.0,-26.0,-16.0,-17.0,-2.0
18,-1.0,-17.0,-27.0,3.0,26.0,14.0,5.0,-28.0
19,8.0,-26.0,29.0,-6.0,-7.0,-19.0,8.0,-22.0
20,-7.0,-23.0,-14.0,25.0,14.0,-20.0,-28.0,-8.0
21,-15.0,-29.0,-30.0,27.0,17.0,-18.0,-25.0,-3.0
22,26.0,2.0,-13.0,6.0,1.0,-13.0,-20.0,-8.0
23,-20.0,-18.0,-4.0,15.0,-1.0,-1.0,-3.0,-17.0
24,29.0,7.0,-25.0,8.0,-2.0,24.0,15.0,30.0
25,-30.0,-23.0,-14.0,2.0,-18.0,31.0,-12.0,4.0
26,-13.0,-2.0,4.0,0.0,31.0,20.0,-23.0,28.0
27,12.0,-5.0,2.0,-17.0,8.0,-15.0,-15.0,-19.0
28,-31.0,-1.0,-8.0,-17.0,-25.0,-26.0,24.0,-29.0
29,22.0,1.0,-5.0,7.0,5.0,-15.0,-29.0,-19.0
30,1.0,-29.0,15.0,27.0,21.0,-31.0,-7.0,9.0
31,30.0,-25.0,-30.0,-19.0,9.0,-11.0,-2.0,-30.0
32,6.0,-21.0,30.0,-20.0,-30.0,-30.0,-1.0,27.0
33,-24.0,31.0,-10.0,5.0,-11.0,30.0,-8.0,7.0
34,-21.0,5.0,-5.0,10.0,-19.0,-5.0,22.0,30.0
35,3.0,-31.0,22.0,-16.0,14.0,-24.0,25.0,24.0
36,13.0,-18.0,-4.0,-17.0,-8.0,0.0,-7.0,-1.0
37,-15.0,22.0,24.0,0.0,-29.0,-25.0,23.0,-16.0
38,13.0,-3.0,-7.0,28.0,31.0,25.0,30.0,-9.0
39,-24.0,20.0,6.0,1.0,-4.0,-4.0,9.0,18.0
40,23.0,24.0,29.0,-2.0,4.0,-10.0,-29.0,28.0
41,1.0,27.0,24.0,13.0,27.0,21.0,24.0,-15.0
42,0.0,-1.0,10.0,-4.0,28.0,-32.0,13.0,-11.0
43,-15.0,-8.0,28.0,27.0,-18.0,-30.0,2.0,-10.0
44,-22.0,-5.0,6.0,-14.0,-24.0,-11.0,1.0,31.0
45,-23.0,2.0,24.0,7.0,-25.0,4.0,17.0,-5.0
46,-6.0,-2.0,-25.0,12.0,5.0,-13.0,-20.0,26.0
47,17.0,-25.0,25.0,-23.0,30.0,-13.0,23.0,-19.0
48,-29.0,-29.0,21.0,-14.0,24.0,21.0,9.0,28.0
