,val_loss
0,"91.0330, "
1,"79.1552, "
2,"109.0071, "
3,"124.5541, "
4,"103.2719, "
5,"134.5979, "
6,"114.8285, "
7,"95.9793, "
8,"116.9084, "
9,"113.6146, "
10,"93.1459, "
11,"93.6594, "
12,"104.4051, "
13,"120.4426, "
14,"122.3516, "
15,"108.4536, "
16,"114.2504, "
17,"101.5874, "
18,"113.8695, "
19,"121.1521, "
20,"104.4081, "
21,"111.4249, "
22,"117.9566, "
23,"114.7704, "
24,"105.2224, "
25,"110.8326, "
26,"125.0378, "
27,"107.1171, "
28,"115.5808, "
29,"99.6370, "
30,"122.7058, "
31,"95.7780, "
32,"110.0767, "
33,"99.7523, "
34,"100.4643, "
35,"86.6407, "
36,"125.2359, "
37,"99.2745, "
38,"110.5557, "
39,"124.3562, "
40,"92.0357, "
41,"117.6636, "
42,"116.6464, "
43,"112.0033, "
44,"104.0300, "
45,"112.3584, "
46,"102.6570, "
47,"117.5271, "
48,"102.5798, "
49,"101.9822, "
50,"102.7067, "
51,"106.4113, "
52,"107.5750, "
53,"95.9588, "
54,"110.4596, "
55,"97.5506, "
56,"114.0551, "
57,"122.2132, "
58,"114.6724, "
59,"132.0021, "
60,"114.7297, "
61,"102.3854, "
62,"108.4391, "
63,"115.8818, "
64,"117.9275, "
65,"120.1959, "
66,"107.4222, "
67,"85.7514, "
68,"99.0202, "
69,"111.3355, "
70,"99.0788, "
71,"106.3240, "
72,"84.1245, "
73,"129.3110, "
74,"111.6847, "
75,"103.0418, "
76,"105.7694, "
77,"116.5850, "
78,"109.1207, "
79,"120.7899, "
80,"98.3561, "
81,"120.4236, "
82,"125.1435, "
83,"120.8148, "
84,"98.3337, "
85,"95.6432, "
86,"91.8516, "
87,"120.3641, "
88,"97.8278, "
89,"123.4410, "
90,"130.2612, "
91,"98.6782, "
92,"111.9617, "
93,"97.0233, "
94,"125.6653, "
95,"102.3086, "
96,"99.7541, "
97,"126.6293, "
98,"128.2380, "
99,"107.1426, "
100,"109.8020, "
101,"110.3730, "
102,"119.8475, "
103,"81.4948, "
104,"109.9086, "
105,"106.1959, "
106,"106.5540, "
107,"97.9725, "
108,"91.7226, "
109,"125.8513, "
110,"109.3056, "
111,"121.7360, "
112,"115.7537, "
113,"114.6872, "
114,"105.1324, "
115,"110.3871, "
116,"99.0455, "
117,"128.0317, "
118,"106.1896, "
119,"105.3308, "
120,"130.1683, "
121,"116.8798, "
122,"100.8868, "
123,"112.7520, "
124,"95.4801, "
125,"114.4646, "
126,"101.0513, "
127,"95.1012, "
128,"101.4646, "
129,"95.1887, "
130,"114.7967, "
131,"91.5492, "
132,"90.2393, "
133,"96.0052, "
134,"107.8167, "
135,"101.7197, "
136,"105.1871, "
137,"99.5042, "
138,"95.5683, "
139,"110.8680, "
140,"93.3153, "
141,"106.6315, "
142,"120.2385, "
143,"102.4288, "
144,"123.3046, "
145,"107.9932, "
146,"106.4936, "
147,"117.6827, "
148,"103.3862, "
149,"94.8780, "
150,"113.7141, "
151,"123.5481, "
152,"125.9685, "
153,"104.0985, "
154,"99.4105, "
155,"113.9014, "
156,"101.8270, "
157,"89.5000, "
158,"105.5948, "
159,"106.2459, "
160,"103.1643, "
161,"121.0555, "
162,"103.8873, "
163,"109.9480, "
164,"123.1927, "
165,"102.3028, "
166,"116.2518, "
167,"122.0081, "
168,"102.7020, "
169,"96.2550, "
170,"124.9260, "
171,"109.2392, "
172,"100.3239, "
173,"111.4770, "
174,"113.0407, "
175,"119.8106, "
176,"98.8426, "
177,"106.9600, "
178,"120.5286, "
179,"109.1589, "
180,"119.9261, "
181,"86.6404, "
182,"83.4545, "
183,"109.5504, "
184,"105.5756, "
185,"106.3508, "
186,"110.0588, "
187,"114.6369, "
188,"103.6753, "
189,"118.4709, "
190,"105.3712, "
191,"123.7541, "
192,"122.7194, "
193,"121.1225, "
194,"112.2039, "
195,"126.5256, "
196,"114.1777, "
197,"111.8611, "
198,"105.4081, "
199,"118.2384, "
200,"109.8949, "
201,"93.3164, "
202,"120.4675, "
203,"108.6304, "
204,"134.6329, "
205,"122.2792, "
206,"119.9448, "
207,"121.1418, "
208,"124.3412, "
209,"95.4020, "
210,"84.1857, "
211,"122.8883, "
212,"83.6824, "
213,"124.5919, "
214,"105.5023, "
215,"90.8366, "
216,"111.0642, "
217,"91.4626, "
218,"102.9523, "
219,"92.8555, "
220,"103.4663, "
221,"110.9557, "
222,"129.7336, "
223,"123.1054, "
224,"102.3127, "
225,"111.1279, "
226,"107.3912, "
227,"85.6822, "
228,"105.1504, "
229,"116.1124, "
230,"121.9720, "
231,"109.4899, "
232,"82.4468, "
233,"112.7362, "
234,"113.6669, "
235,"119.3387, "
236,"93.4050, "
237,"115.7883, "
238,"99.4608, "
239,"111.8727, "
240,"113.1705, "
241,"94.2611, "
242,"114.4332, "
243,"96.0935, "
244,"86.8776, "
245,"102.4602, "
246,"113.6195, "
247,"109.4067, "
248,"103.7905, "
249,"127.3988, "
250,"106.0539, "
251,"124.2533, "
252,"105.8858, "
253,"110.5933, "
254,"109.3162, "
255,"116.7775, "
256,"112.2019, "
257,"98.3617, "
258,"113.4900, "
259,"66.3053, "
260,"118.6352, "
261,"81.5263, "
262,"112.8992, "
263,"100.2845, "
264,"99.0735, "
265,"89.5573, "
266,"96.3666, "
267,"117.2400, "
268,"95.5216, "
269,"104.2368, "
270,"123.4845, "
271,"113.7172, "
272,"114.1519, "
273,"102.6992, "
274,"110.4324, "
275,"104.7665, "
276,"103.4054, "
277,"113.6715, "
278,"108.5076, "
279,"118.8753, "
280,"97.5376, "
281,"86.6700, "
282,"127.6600, "
283,"99.8765, "
284,"99.4769, "
285,"101.2322, "
286,"111.5063, "
287,"101.4885, "
288,"110.9246, "
289,"100.0926, "
290,"121.0827, "
291,"124.5838, "
292,"96.6961, "
293,"121.7098, "
294,"96.1893, "
295,"90.7763, "
296,"108.0400, "
297,"118.4098, "
298,"112.6856, "
299,"84.9586, "
300,"111.4095, "
301,"94.9983, "
302,"117.9929, "
303,"101.6039, "
304,"102.1778, "
305,"84.2477, "
306,"127.3184, "
307,"97.0093, "
308,"83.7517, "
309,"113.3018, "
310,"108.3111, "
311,"135.3614, "
312,"90.1541, "
313,"113.6532, "
314,"102.6957, "
315,"110.7521, "
316,"107.1767, "
317,"108.3104, "
318,"116.5284, "
319,"117.7001, "
320,"118.5833, "
321,"120.6511, "
322,"102.4273, "
323,"100.4362, "
324,"105.7507, "
325,"98.5425, "
326,"98.8815, "
327,"110.3936, "
328,"116.5394, "
329,"118.7616, "
330,"110.7290, "
331,"118.5942, "
332,"89.0120, "
333,"107.8395, "
334,"101.8583, "
335,"110.2947, "
336,"107.1484, "
337,"111.2845, "
338,"135.7957, "
339,"110.1791, "
